obra,campo,camada,id_kwic,pagina,termo_encontrado,contexto_antes,trecho_central,contexto_depois,uso_figural,subcategoria,comentario
latour_1996_clarifications_en,textil,C_variantes_raras,latour_1996_clarifications_en#textil#0000,1,thread,"cannot be described without recognizing them as having a fibrous,",thread,"wiry, stringy, ropy, capillary character that is never captured by",sim,,"Termo ""thread"" (singular) na sequencia ""fibrous, thread-like, wiry, stringy, ropy, capillary"". Mesma passagem programatica."
latour_1996_clarifications_en,textil,C_variantes_raras,latour_1996_clarifications_en#textil#0001,1,wiry,"be described without recognizing them as having a fibrous, thread-like,",wiry,"stringy, ropy, capillary character that is never captured by the",sim,,"Termo ""wiry"" da mesma sequencia. Confirma a densidade textil da passagem."
latour_1996_clarifications_en,textil,C_variantes_raras,latour_1996_clarifications_en#textil#0002,1,stringy,"described without recognizing them as having a fibrous, thread-like, wiry,",stringy,"ropy, capillary character that is never captured by the notions",sim,,"Termo ""stringy"" da mesma sequencia."
latour_1996_clarifications_en,textil,C_variantes_raras,latour_1996_clarifications_en#textil#0003,1,ropy,"without recognizing them as having a fibrous, thread-like, wiry, stringy,",ropy,capillary character that is never captured by the notions of,sim,,"Termo ""ropy"" da mesma sequencia. Note a metonimia organica (ropy ~ corda) que reforca o registro textil-corporeo."
latour_1996_clarifications_en,textil,C_variantes_raras,latour_1996_clarifications_en#textil#0004,1,fabrics,reinjection of the things into our understanding of the social,fabrics,is through a network-like ontology and social theory. To remain,sim,,"""Social fabrics"" plural. ""A reinjection of the things into our understanding of the social fabrics is through a network-like ontology"". Tropo figural que conecta textil e topologico explicitamente."
latour_1996_clarifications_en,topologia,A_top_densidade,latour_1996_clarifications_en#topologia#0000,1,disconnected,tyranny of distance” or proximity; elements which are close when,disconnected,"may be infinitely remote if their connections are analyzed; conversely,",sim,,"""Disconnected"" em contexto de tyranny of distance/proximity: ""elements which are close when disconnected may be infinitely remote if their connections are analyzed"". Tropo topologico pleno."
latour_1996_clarifications_en,topologia,A_top_densidade,latour_1996_clarifications_en#topologia#0001,1,proximity,"but that in order to obtain the effects of distance,",proximity,"hierarchies, connectedness, outsiderness and surfaces, an enormous supplementary work has",sim,,"""Proximity"" em contexto de critica a distancia geografica como medida da rede. Tropo topologico."
latour_1996_clarifications_en,topologia,A_top_densidade,latour_1996_clarifications_en#topologia#0002,1,surfaces,"obtain the effects of distance, proximity, hierarchies, connectedness, outsiderness and",surfaces,an enormous supplementary work has to be done. This work,sim,,"""Surfaces"" listada com hierarchies, connectedness, outsiderness. Tropo topologico que delimita o que ANT recusa."
latour_1996_clarifications_en,topologia,A_top_densidade,latour_1996_clarifications_en#topologia#0003,1,nodes,exclusively related yet very distant element with the circulation between,nodes,being made compulsory through a set of rigorous paths giving,sim,,"""Nodes"" em contexto da definicao de network engineer-sense (telefonia, metro). Aqui nodes e tecnico-figural: define o tipo de rede que ANT NAO e, mas pelo contraste produz tropo."
latour_1996_clarifications_en,topologia,A_top_densidade,latour_1996_clarifications_en#topologia#0004,1,nodes,through a set of rigorous paths giving to a few,nodes,"a strategic character. Nothing is more intensely connected, more distant,",sim,,"Continuacao do mesmo contexto: ""a few nodes a strategic character"". Tropo topologico-tecnico."
latour_1996_clarifications_en,topologia,B_aleatoria,latour_1996_clarifications_en#topologia#0000,1,flows,"Second, actors are not conceived as fixed entities but as",flows,"as circulating objects, undergoing trials, and their stability, continuity, isotopies",sim,,"""Actors are not conceived as fixed entities but as flows"". Tropo topologico em definicao ontologica de actant."
latour_1996_clarifications_en,topologia,B_aleatoria,latour_1996_clarifications_en#topologia#0001,1,loci,rule but the exceptions that have to be accounted for.,Loci,contingencies or clusters are more like archipelagos on a sea,sim,,"""Loci, contingencies or clusters are more like archipelagos on a sea than like lakes dotting a solid land"". Tropo topologico-geografico pleno e citacao memoravel."
latour_1996_clarifications_en,topologia,B_aleatoria,latour_1996_clarifications_en#topologia#0002,1,paths,"network -it may be local, it may have no compulsory",paths,"no strategically positioned nodes. Tom Hughes’s “networks of power” (198-),",parcial,tecnico,"""No compulsory paths, no strategically positioned nodes"" em contexto de Tom Hughes networks of power. Uso transitorio entre figural e tecnico (engenharia de redes de poder)."
latour_1996_clarifications_en,topologia,B_aleatoria,latour_1996_clarifications_en#topologia#0003,1,trajectory,"shadow forth, inscroll, file, list, record, mark, or tag a",trajectory,that is called a network. No net exists independently of,sim,,"""Shadow forth, inscroll, file, list, record, mark, or tag a trajectory that is called a network"". Tropo topologico-semiotico pleno, sequencia memoravel."
latour_1996_clarifications_en,topologia,B_aleatoria,latour_1996_clarifications_en#topologia#0004,1,grid,established by the grid system and the work of geographers;,grid,layering and map making is another network and not what,parcial,tecnico,"""Grid layering and map making is another network"". Uso tecnico-cartografico, ainda assim contribui para o vocabulario topologico."
latour_1996_clarifications_en,topologia,C_variantes_raras,latour_1996_clarifications_en#topologia#0000,1,topology,Deleuze’s parlance 197-). More precisely it is a change of,topology,Instead of thinking in terms of surfaces two dimension- or,sim,,"""More precisely it is a change of topology. Instead of thinking in terms of surfaces..."" Tropo topologico em definicao programatica da TAR."
latour_1996_clarifications_en,topologia,C_variantes_raras,latour_1996_clarifications_en#topologia#0001,1,topology,"by those traditional words without having to buy the ontology,",topology,and politics that goes with them. AT has been developped,sim,,"""Buy the ontology, topology and politics that goes with them"". Topology em registro filosofico-politico, tropo figural."
latour_1996_clarifications_en,topologia,C_variantes_raras,latour_1996_clarifications_en#topologia#0002,1,connection,be defined by connectibility. The geographical notion is simply another,connection,to a grid defining a metrics and a scale. The,sim,,"""Geographical notion is simply another connection to a grid defining a metrics"". Tropo topologico-relacional."
latour_1996_clarifications_en,topologia,C_variantes_raras,latour_1996_clarifications_en#topologia#0003,1,scales,plagued social theory from its inception. The whole metaphor of,scales,"going from the individual, to the nation state, through family,",sim,,"""The whole metaphor of scales going from the individual, to the nation state..."" Aqui Latour explicita que scales e metafora, e o uso aqui e meta-figural (ele cita a metafora para criticar)."
latour_1996_clarifications_en,topologia,C_variantes_raras,latour_1996_clarifications_en#topologia#0004,1,locus,of society; it makes absolutely no assumption whether a specific,locus,is macro- or micro- and does not modify the tools,sim,,"""It makes absolutely no assumption whether a specific locus is macro- or micro-"". Locus em registro topologico-conceitual da TAR."
latour_1996_clarifications_en,network,A_top_densidade,latour_1996_clarifications_en#network#0000,1,networks,complications Bruno Latour CSI-Paris/Science Studies-San Diego Exploring the properties of,networks,is the task that the Paris group of science and,sim,,"""Exploring the properties of networks is the task that the Paris group..."" Definicao programatica da TAR. Tropo central."
latour_1996_clarifications_en,network,A_top_densidade,latour_1996_clarifications_en#network#0001,1,networks,this paper to list some of the interesting properties of,networks,and to explain some of the misunderstandings that have arisen.,sim,,"""List some of the interesting properties of networks"". Definicao programatica."
latour_1996_clarifications_en,network,A_top_densidade,latour_1996_clarifications_en#network#0002,1,networks,"have no compulsory paths, no strategically positioned nodes. Tom Hughes’s",networks,"of power” (198-), to give a historical example, are actor-networks",parcial,descritivo,"""Tom Hughes networks of power"" e referencia historica a Hughes (1983), nao tropo proprio de Latour. Caso-limite: o termo entra no vocabulario por citacao de outro autor."
latour_1996_clarifications_en,network,A_top_densidade,latour_1996_clarifications_en#network#0003,1,networks,"“networks of power” (198-), to give a historical example, are",networks,at the beginning of the story and only some of,parcial,descritivo,Continuacao da referencia a Hughes networks of power. Mesmo caso-limite.
latour_1996_clarifications_en,network,A_top_densidade,latour_1996_clarifications_en#network#0004,1,networks,only some of their stabilized elements end up to be,networks,"in the engineer’s On actor-network theory sense, that is the",parcial,tecnico,"""Networks in the engineer's sense, that is the electrical grid"". Uso tecnico explicitamente nomeado, contraposicao ao uso figural de ANT."
latour_1996_clarifications_en,network,B_aleatoria,latour_1996_clarifications_en#network#0000,1,network,is done by an actor exterior to the net. A,network,is not a thing but the recorded movement of a,sim,,"""A network is not a thing but the recorded movement of a thing"". Tropo figural pleno, definicao ontologica."
latour_1996_clarifications_en,network,B_aleatoria,latour_1996_clarifications_en#network#0001,1,networks,has very little to do with the study of social,networks,These studies no matter how interesting concerns themselves with the,nao,tecnico,"""Has very little to do with the study of social networks"". Latour aqui REFUTA a confusao entre seu uso e o uso socio-tecnico. A negacao explicita marca esse como descritivo do uso a evitar, nao figural proprio da TAR."
latour_1996_clarifications_en,network,B_aleatoria,latour_1996_clarifications_en#network#0002,1,network,Three misunderstandings are due to comon usages of the word,network,itself and the connotations they imply. The first mistake would,sim,,"""Three misunderstandings are due to common usages of the word network"". Aqui Latour TEMATIZA o termo, o que e gesto metateorico, mas dentro do texto figural da TAR. Mantenho sim porque o uso e constitutivo do argumento figural."
latour_1996_clarifications_en,network,B_aleatoria,latour_1996_clarifications_en#network#0003,1,network,connections is left to the actors themselves. The notion of,network,allows us to lift the tyranny of social theorists and,sim,,"""The notion of network allows us to lift the tyranny of social theorists"". Tropo figural pleno."
latour_1996_clarifications_en,network,B_aleatoria,latour_1996_clarifications_en#network#0004,1,network,which networks are situated Small scale/large scale: the notion of,network,allows us to dissolve the micro- macro distinction that has,sim,,"""The notion of network allows us to dissolve the micro-macro distinction"". Tropo figural pleno em definicao programatica."
latour_1996_clarifications_en,network,C_variantes_raras,latour_1996_clarifications_en#network#0000,1,networking,a network of allies and extend his power -doing some,networking,or “liaising” as Americans say... This is alas the way,nao,polissemia,"""Doing some networking or liaising as Americans say"". Latour cita explicitamente o uso comum-americano para criticar e diferenciar do uso ANT. Uso polissemico denunciado."
latour_1996_clarifications_en,network,C_variantes_raras,latour_1996_clarifications_en#network#0001,1,networks,grid. Even at this later stage the engineering definition of,networks,are still a partial projection of an actor-network. The second,parcial,tecnico,"""The engineering definition of networks are still a partial projection of an actor-network"". Uso tecnico-comparativo."
latour_1996_clarifications_en,network,C_variantes_raras,latour_1996_clarifications_en#network#0002,1,networks,societies and natures. It does not wish to add social,networks,to social theory but to rebuild social theory out of,sim,,"""It does not wish to add social networks to social theory but to rebuild social theory out of networks"". Tropo figural-programatico pleno."
latour_1996_clarifications_en,network,C_variantes_raras,latour_1996_clarifications_en#network#0003,1,networks,to social theory but to rebuild social theory out of,networks,"It is as much an ontology or a metaphysics, as",sim,,Continuacao da definicao programatica.
latour_1996_clarifications_en,network,C_variantes_raras,latour_1996_clarifications_en#network#0004,1,networks,"much an ontology or a metaphysics, as a sociology. Social",networks,will of course be included in the description but they,parcial,descritivo,"""Social networks will of course be included in the description but they..."" Uso descritivo, refere-se a redes sociais empiricas como objeto a incluir, nao como tropo figural."
latour_1996_clarifications_en,actor_network,A_top_densidade,latour_1996_clarifications_en#actor_network#0000,1,actor-network,one of the possible final and stabilized state of an,actor-network,An actor network may lack all the characteristics of a,sim,,"""One of the possible final and stabilized state of an actor-network"". Definicao operacional do conceito."
latour_1996_clarifications_en,actor_network,A_top_densidade,latour_1996_clarifications_en#actor_network#0001,1,actor network,the possible final and stabilized state of an actor-network. An,actor network,may lack all the characteristics of a technical network -it,sim,,"""An actor network may lack all the characteristics of a technical network"". Definicao por contraste com a rede tecnica."
latour_1996_clarifications_en,actor_network,A_top_densidade,latour_1996_clarifications_en#actor_network#0002,1,actants,a building; -an ontological claim on the “networky” character of,actants,themselves. AT asserts that the limits of these three unrelated,sim,,"""An ontological claim on the networky character of actants themselves"". Definicao programatica, ""networky"" como neologismo figural."
latour_1996_clarifications_en,actor_network,A_top_densidade,latour_1996_clarifications_en#actor_network#0003,1,actants,“selection” of finer and finer embranchments going from abstract structure,actants,to concrete ones actors. The generative path that is thus,sim,,"""Embranchments going from abstract structure (actants) to concrete ones (actors)"". Definicao semiotica da TAR."
latour_1996_clarifications_en,actor_network,A_top_densidade,latour_1996_clarifications_en#actor_network#0004,1,actants,"claims outside the text in the “social”, and what the",actants,themselves really do in “nature”. The circulating object goes on,sim,,"""What the actants themselves really do in nature"". Uso ontologico do termo."
latour_1996_clarifications_en,actor_network,B_aleatoria,latour_1996_clarifications_en#actor_network#0000,1,actant,it. An “actor” in AT is a semiotic definition -an,actant,"that is, something that acts or to which activity is",sim,,"""An actor in AT is a semiotic definition - an actant, that is, something that acts or to which activity is granted by others"". Definicao canonica do actant."
latour_1996_clarifications_en,actor_network,B_aleatoria,latour_1996_clarifications_en#actor_network#0001,1,actor network,us to retie the links between these three resources. The,actor network,theory developped by Callon and his colleagues is an attempt,sim,,"""The actor network theory developped by Callon and his colleagues is an attempt to invent a vocabulary..."" Latour reconhece aqui que a TAR e tentativa de inventar vocabulario, o que e exatamente o argumento da minha tese."
latour_1996_clarifications_en,actor_network,B_aleatoria,latour_1996_clarifications_en#actor_network#0002,1,actor-network,Abtstract for a paper The trouble with,actor-network,theory by Bruno Latour Three resources have been developped over,sim,,"""The trouble with actor-network theory by Bruno Latour"". Titulo do abstract, uso autorreferencial central."
latour_1996_clarifications_en,actor_network,B_aleatoria,latour_1996_clarifications_en#actor_network#0003,1,actor-network,elements end up to be networks in the engineer’s On,actor-network,"theory sense, that is the electrical grid. Even at this",sim,,"""In the engineer's On actor-network theory sense"". Uso tecnico-conceitual."
latour_1996_clarifications_en,actor_network,B_aleatoria,latour_1996_clarifications_en#actor_network#0004,1,actor-network,network. Such is not however the basic metaphor of an,actor-network,A technical network in the engineer’s sense is only one,sim,,"""Such is not however the basic metaphor of an actor-network"". Latour usa explicitamente ""metaphor"", confirmando o registro figural."
latour_1996_clarifications_en,actor_network,C_variantes_raras,latour_1996_clarifications_en#actor_network#0000,1,actant,to human individual actors but extend the word actor or,actant,"to non-human, non individual entities. Whereas social network adds information",sim,,"""Extend the word actor or actant to non-human, non individual entities"". Definicao da extensao semiotica."
latour_1996_clarifications_en,actor_network,C_variantes_raras,latour_1996_clarifications_en#actor_network#0001,1,actant,"of human individual actors, nor of humans in general. An",actant,can literally be anything provided it is granted to be,sim,,"""An actant can literally be anything provided it is granted to be the source of an action"". Definicao canonica."
latour_1996_clarifications_en,actor_network,C_variantes_raras,latour_1996_clarifications_en#actor_network#0002,1,actant,rule a quasi-object should be thought of as a moving,actant,that transforms those which do the moving because they transform,sim,,"""A moving actant that transforms those which do the moving because they transform"". Definicao dinamica."
latour_1996_clarifications_en,actor_network,C_variantes_raras,latour_1996_clarifications_en#actor_network#0003,1,actants,“(x)-morphic”. It might happen that a generative path has limited,actants,"to a homogeneous repertoire of humans, or of mecanism, or",parcial,descritivo,"""It might happen that a generative path has limited actants to a homogeneous repertoire"". Uso tecnico-semiotico, transitorio."
latour_1996_clarifications_en,actor_network,C_variantes_raras,latour_1996_clarifications_en#actor_network#0004,1,actor-network,exactly grasping the social theory and quaint ontology entailed by,actor-network,"(but see Callon, Courtial, Lavergne 1990). Three misunderstandings are due",nao,metalinguistico,"""The social theory and quaint ontology entailed by actor-network (but see Callon, Courtial, Lavergne 1990)"". Aqui actor-network entra como nome do programa de pesquisa que Latour cita; uso autorreferencial-metalinguistico."
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0000,1,scale,back. In the social domain there is no change of,scale,is so to speak always flat and folded and this,sim,,"""In the social domain there is no change of scale"". Tropo topologico pleno, definicao programatica da TAR posterior."
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0001,1,flat,is no change of scale.It is so to speak always,flat,and folded and this is especiallytrue of the natural sciencesthat,sim,,"""It is so to speak always flat and folded"". Tropo topologico, par flat/folded de inspiracao deleuziana."
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0002,1,folded,change of scale.It is so to speak always flat and,folded,and this is especiallytrue of the natural sciencesthat are said,sim,,"Continuacao do mesmo ""flat and folded"". Par de tropos topologicos."
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0003,1,flow,environment in which society is sup posedto be located.Contexts too,flow,"locally through networks, be these geography,medicine, statistics,economics,or even sociology. This",sim,,"""Contexts too flow locally through networks"". Tropo de circulacao, topologico-dinamico."
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0004,1,topology,possible:economiesemergeout of economics;societiesout of soci ologies;cultures out of anthropologies;etc. The,topology,"of the social, John Law is right, is rather bizarre,",sim,,"""The topology of the social, John Law is right, is rather bizarre"". Topology em registro programatico, Latour confirma a posicao topologica de Law."
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0005,1,locus,"rather bizarre, but I don't think it is fractal. Each",locus,can be seenas framing and summing up. Actor' is not,sim,,"""Each locus can be seen as framing and summing up"". Locus em registro topologico."
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0006,1,fluid,dimensionsand touchstones.John Law and Annemarie Mol have used the word,fluid,"(Mol and Law 1994),Adrian Cussins,the word trails (Cussins, 1992),Charis Cussins,the",sim,,"""John Law and Annemarie Mol have used the word fluid"". Latour cita o vocabulario alternativo de Law e Mol como exemplo de figuracao nova. Caso interessante: fluid e ALTERNATIVA explicita ao agonistico."
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0007,1,circulations,networkshas rendered irretrievable:it is a theory that saysthat by following,circulations,"we can get more than by defining entities,essenceor provinces.In that",sim,,"""It is a theory that says that by following circulations we can get more than by defining entities"". Tropo topologico-dinamico pleno."
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0008,1,fluids,theory of nature. It is a theory of the spaceor,fluids,circulating in a non-modern situation. What type of connection can,sim,,"""It is a theory of the space or fluids circulating in a non-modern situation"". Tropo de circulacao-fluidez, central no argumento do ""after ANT""."
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0009,1,circulating,of nature. It is a theory of the spaceor fluids,circulating,in a non-modern situation. What type of connection can be,sim,,"Continuacao do ""fluids circulating""."
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0010,1,connection,spaceor fluids circulating in a non-modern situation. What type of,connection,"can be established betweenthose terms, other than the systematicmodernist solution?",sim,,"""What type of connection can be established between those terms"". Connection em registro topologico-relacional."
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0011,1,circulate,Let us not forget that the first thing we made,circulate,"is nature and reference,that is the 'out there' box. I",sim,,"""The first thing we made circulate is nature and reference"". Tropo de circulacao."
latour_1999_recalling_en,topologia,exaustiva,latour_1999_recalling_en#topologia#0012,1,circulation,Wars. Clearly the treatment of the collectiveof scientificreality as a,circulation,"of transformations-is it even necessaryto say again that referenceis real,",sim,,"""The treatment of the collective of scientific reality as a circulation of transformations"". Tropo programatico de circulacao."
latour_1999_recalling_en,network,exaustiva,latour_1999_recalling_en#network#0000,1,network,"a field of forces where morality' humanity, psychologywas absent.Thus, the",network,was split into two: demiurgy on one side; 'death of,nao,metalinguistico,"""Thus, the network was split into two: demiurgy on one side; death of Man on the other"". Aqui network e citado como termo SOB CRITICA, dentro do gesto autocritico do ""second nail in the coffin"". Uso metalinguistico-autorreflexivo, nao figural proprio."
latour_1999_recalling_en,network,exaustiva,latour_1999_recalling_en#network#0001,1,network,symmetrical critiques are off target even though the very expressionof,network,invites this reaction.The original idea was not to occupy a,nao,metalinguistico,"""The very expression of network invites this reaction"". Latour cita o termo network para tematizar como ele induziu interpretacoes erradas. Metalinguistico."
latour_1999_recalling_en,network,exaustiva,latour_1999_recalling_en#network#0002,1,network,"refocus the argument. Let us abandon the words ,actor' and",network,"for a moment and pay someattention to lwo operations, oneof",nao,metalinguistico,"""Let us abandon the words actor and network for a moment"". Latour cita os termos para SUSPENDER seu uso. Gesto metalinguistico programatico do Recalling."
latour_1999_recalling_en,network,exaustiva,latour_1999_recalling_en#network#0003,1,networks,society is sup posedto be located.Contexts too flow locally through,networks,"be these geography,medicine, statistics,economics,or even sociology. This is where ANT",sim,,"""Contexts too flow locally through networks"". Aqui network e usada figuralmente, nao tematizada. Diferente dos casos metalinguisticos."
latour_1999_recalling_en,network,exaustiva,latour_1999_recalling_en#network#0004,1,network,Actor' is not here to play the role of agencyand,network,to play the role of society.Actor and network-if we want,nao,metalinguistico,"""Actor is not here to play the role of agency and network to play the role of society"". Latour CITA o par para criticar a leitura agency/structure. Metalinguistico."
latour_1999_recalling_en,network,exaustiva,latour_1999_recalling_en#network#0005,1,network,of agencyand 'network' to play the role of society.Actor and,network,we want to still usethose terms O The Editorial Board,nao,metalinguistico,"""Actor and network we want to still use those terms"". Continuacao da tematização metalinguistica. Latour pondera se ainda manter o vocabulario."
latour_1999_recalling_en,network,exaustiva,latour_1999_recalling_en#network#0006,1,network,"coffin-thus abandoningwhat is so wrong with ANT, that is 'actor',",network,"'theory' without forgettingthe hyphenl-some other creaturemight emerse,light and beautiful:our future",nao,metalinguistico,"""ANT, that is actor, network, theory, without forgetting the hyphen!"" Latour aqui ENUMERA os termos para ""pregar o ultimo prego no caixao"". Metalinguistico explicito, gesto autocritico."
latour_1999_recalling_en,actor_network,exaustiva,latour_1999_recalling_en#actor_network#0000,1,actor-network,"a field of forces where morality' humanity, psychologywas absent.Thus, the",actor-network,was split into two: demiurgy on one side; 'death of,nao,metalinguistico,"""Thus, the actor-network was split into two: demiurgy... death of Man"". Mesma passagem da linha 74, mas em variante actor-network. Metalinguistico-autocritico."
latour_1999_recalling_en,actor_network,exaustiva,latour_1999_recalling_en#actor_network#0001,1,actor-network,symmetrical critiques are off target even though the very expressionof,actor-network,invites this reaction.The original idea was not to occupy a,nao,metalinguistico,"""The very expression of actor-network invites this reaction"". Mesma passagem da linha 75. Metalinguistico-autocritico, Latour tematiza o termo para criticar."
